fiscal_year,fund_type,fund_category,total_vouchers_paid,total_vouchers_pending,total_encumbrance_balance,total_pending_retainage,record_count,unique_suppliers,negative_paid_records,large_paid_1m_records,missing_po_date_records
2007,General Fund,Operating,866751338.78,81449704.88,0.0,68911017.94,38654,19038,18,136,38654
2007,SF International Airport Funds,Operating,703002146.6,20880877.8,0.0,12227971.2,4464,2198,0,26,4464
2007,General Hospital Medical Center Funds,Operating,350181398.56,29299019.58,0.0,30426428.5,6048,3154,48,28,6048
2007,Special Revenue Funds,Operating,346425236.5,22513941.38,0.0,14587648.44,10666,4768,0,30,10666
2007,Debt Service Funds,Operating,292602800.68,124649.78,0.0,0.0,60,60,0,6,60
2007,Capital Projects Funds,Continuing Projects,285979126.56,23458852.400000002,0.0,98571465.56,1668,1130,0,50,1668
2007,Special Revenue Funds,Grants,273042663.2,18733300.16,0.0,63202902.12,6074,3324,4,36,6074
2007,PUC Water Department Funds,Continuing Projects,254899408.3,43630722.88,0.0,242572694.54000002,3836,1728,0,56,3836
2007,MTA Municipal Railway Funds,Continuing Projects,243525947.65999997,46118929.26,0.0,195919699.36,1248,884,0,40,1248
2007,MTA Municipal Railway Funds,Operating,225226750.1,12921663.799999999,0.0,26008493.84,19300,2288,36,18,19300
2007,Laguna Honda Hospital Funds,Continuing Projects,205108602.35999998,31652848.240000002,0.0,294928188.44,212,172,0,16,212
2007,PUC Wastewater Funds,Operating,179482718.52,5077056.14,0.0,8349594.399999999,6812,2394,0,12,6812
2007,Special Revenue Funds,Continuing Projects,162477053.18,19242371.9,0.0,77513514.96,3790,2448,0,22,3790
2007,PUC Water Department Funds,Operating,151764728.76,9980439.58,0.0,21231132.22,18302,7998,0,10,18302
2007,Internal Service Funds,Operating,113402033.9,15700978.279999997,0.0,17540245.84,7844,2204,0,16,7844
2007,SF International Airport Funds,Grants,101322552.96,12368850.78,0.0,14342335.9,154,124,0,30,154
2007,SF International Airport Funds,Continuing Projects,98314359.2,10525777.04,0.0,61179622.28,834,588,0,18,834
2007,General Fund,Continuing Projects,97449263.58000001,13614099.78,0.0,32599724.72,3426,2378,0,14,3426
2007,PUC Wastewater Funds,Continuing Projects,89404456.28,6503517.9,0.0,55421637.7,706,572,0,18,706
2007,PUC Hetch Hetchy Funds,Operating,87403531.67999999,3967344.02,0.0,3462713.2,4802,1588,0,18,4802
2007,Agency Funds,Annual Projects,81424587.84,0.0,0.0,0.0,8,6,0,8,8
2007,Pension Trust Funds,Operating,79437002.30000001,13689984.92,0.0,15442572.120000001,538,424,0,24,538
2007,General Fund,Work Orders/Overhead,73388513.0,9336839.48,0.0,13693898.9,5342,2164,4,8,5342
2007,General Fund,Annual Projects,71347869.64,12992602.100000001,0.0,15762688.040000001,2394,1552,0,10,2394
2007,Laguna Honda Hospital Funds,Operating,44246030.5,1836202.48,0.0,1413066.42,2426,1022,54,12,2426
2007,PUC Hetch Hetchy Funds,Work Orders/Overhead,31752844.38,2435075.02,0.0,7632.42,34,30,0,6,34
2007,PUC Hetch Hetchy Funds,Continuing Projects,29766796.82,8058022.300000001,0.0,37227424.480000004,2046,910,0,0,2046
2007,General Hospital Medical Center Funds,Continuing Projects,29121656.7,5810118.36,0.0,12140497.16,208,142,0,10,208
2007,MTA Parking & Traffic Funds,Work Orders/Overhead,28392218.0,2969158.26,0.0,703080.0800000001,1294,414,0,8,1294
2007,Port Of San Francisco Funds,Operating,25005611.86,1021638.28,0.0,3156744.62,3736,1652,0,2,3736
2007,Port Of San Francisco Funds,Continuing Projects,24676454.8,925595.82,0.0,3905783.8000000003,306,202,0,4,306
2007,MTA Parking & Traffic Funds,Operating,20421967.900000002,1407505.42,0.0,585758.94,524,214,0,8,524
2007,Capital Projects Funds,Grants,15403478.98,1032165.78,0.0,20562093.52,138,128,0,4,138
2007,MTA Municipal Railway Funds,Work Orders/Overhead,12318112.48,1047957.2999999999,0.0,2662678.3400000003,1430,758,0,0,1430
2007,Special Revenue Funds,Annual Projects,9845272.56,182759.3,0.0,241938.68,192,144,0,2,192
2007,Special Revenue Funds,Work Orders/Overhead,9733555.52,1944741.26,0.0,5375940.4,1822,1014,0,0,1822
2007,Treasure Island Development Authority,Continuing Projects,8895415.04,955961.7,0.0,2150615.3000000003,172,156,0,2,172
2007,Other Employee Benefit Trust Funds,Operating,8677535.54,-805356.0,0.0,12900.0,56,34,0,4,56
2007,PUC Water Department Funds,Annual Projects,8293185.14,1051059.8199999998,0.0,1957904.7,442,332,0,0,442
2007,Expendable Trust Funds,Grants,5372571.3,560775.5,0.0,779140.9,566,390,0,0,566
2007,Agency Funds,Operating,3823840.46,-473.0,0.0,0.0,498,482,0,0,498
2007,MTA Parking & Traffic Funds,Annual Projects,2902758.54,70607.8,0.0,0.0,54,14,0,0,54
2007,Port Of San Francisco Funds,Grants,2572871.26,411883.2,0.0,5178818.96,68,66,0,0,68
2007,SF International Airport Funds,Annual Projects,1992497.5599999998,459066.08,0.0,1004071.4199999999,402,336,0,0,402
2007,Port Of San Francisco Funds,Annual Projects,1806120.88,456776.48,0.0,1652489.4,294,182,0,0,294
2007,Agency Funds,Continuing Projects,1753648.46,1094247.1,0.0,0.0,10,10,0,0,10
2007,General Hospital Medical Center Funds,Annual Projects,1260051.76,135387.24,0.0,738025.58,96,28,0,0,96
2007,Internal Service Funds,Work Orders/Overhead,1142493.8,0.0,0.0,472640.0,16,14,0,0,16
2007,Laguna Honda Hospital Funds,Annual Projects,738944.5599999999,12618.380000000001,0.0,0.0,30,28,0,0,30
2007,MTA Parking & Traffic Funds,Continuing Projects,464140.88,41590.92,0.0,166912.72,122,74,0,0,122
2007,Laguna Honda Hospital Funds,Grants,438828.94,47232.719999999994,0.0,6190.86,110,100,0,0,110
2007,PUC Wastewater Funds,Annual Projects,258679.0,18120.88,0.0,0.0,10,10,0,0,10
2007,General Hospital Medical Center Funds,Grants,204963.47999999998,46800.44,0.0,182626.88,12,12,0,0,12
2007,PUC Hetch Hetchy Funds,Annual Projects,106039.0,214440.32,0.0,170245.68,8,8,0,0,8
2007,MTA Municipal Railway Funds,Grants,101709.18,0.0,0.0,0.0,12,12,0,0,12
2007,Internal Service Funds,Continuing Projects,51429.0,0.0,0.0,7677146.86,44,36,0,0,44
2007,Agency Funds,Grants,44356.58,0.0,0.0,0.0,32,32,0,0,32
2007,PUC Water Department Funds,Work Orders/Overhead,6993.22,0.0,0.0,42576.44,16,16,0,0,16
2007,Expendable Trust Funds,Continuing Projects,3975.86,12878.0,0.0,4882.5,12,10,0,0,12
2007,SF Transportation Authority Funds,Continuing Projects,0.0,0.0,0.0,381229869.74,274,8,0,0,274
2008,General Fund,Operating,973887105.3000001,104219086.24,0.0,77512780.62,42802,24070,14,134,42802
2008,SF International Airport Funds,Operating,705804614.2,25954065.78,0.0,17072471.2,4930,2914,0,24,4930
2008,General Hospital Medical Center Funds,Operating,392768905.34,15665405.74,0.0,32929235.46,5558,3200,76,20,5558
2008,Special Revenue Funds,Operating,385072237.74,30366249.56,0.0,15172876.54,10378,5536,2,36,10378
2008,PUC Water Department Funds,Continuing Projects,324360213.58000004,35765496.64,0.0,238146813.54,3772,1730,0,60,3772
2008,Debt Service Funds,Operating,303962757.24,476759.94,0.0,0.0,54,54,0,10,54
2008,MTA Municipal Railway Funds,Continuing Projects,264489747.14000002,15439279.46,0.0,97855657.44,1076,812,0,40,1076
2008,Special Revenue Funds,Grants,237630267.32,55834924.32,0.0,65212950.84,5536,3626,0,20,5536
2008,MTA Municipal Railway Funds,Operating,231023232.18,16172383.42,0.0,29852780.04,18386,4034,0,28,18386
2008,Special Revenue Funds,Continuing Projects,219025767.22,41824447.559999995,0.0,64953295.68,4282,3096,2,46,4282
2008,Capital Projects Funds,Continuing Projects,192857362.88,19992149.64,0.0,93560933.34,1804,1252,0,52,1804
2008,PUC Wastewater Funds,Operating,174515546.78,4668396.6,0.0,7522575.82,6324,2264,0,12,6324
2008,PUC Water Department Funds,Operating,174378052.35999998,10294723.5,0.0,20563864.740000002,17794,6612,2,10,17794
2008,Laguna Honda Hospital Funds,Continuing Projects,141445857.9,34937969.32,0.0,197210205.29999998,232,200,4,12,232
2008,General Fund,Continuing Projects,140176991.22,14303037.08,0.0,36693670.78,4298,2884,0,28,4298
2008,SF International Airport Funds,Continuing Projects,135094436.08,13161915.94,0.0,59458862.36,1158,674,0,28,1158
2008,Internal Service Funds,Operating,124766153.69999999,9953394.08,0.0,19927989.38,7898,2526,0,16,7898
2008,Agency Funds,Annual Projects,100653567.58,0.0,0.0,0.0,8,8,0,8,8
2008,General Fund,Annual Projects,97115954.96,9627265.1,0.0,12112929.56,2950,2310,0,12,2950
2008,PUC Wastewater Funds,Continuing Projects,96190715.84,14097438.94,0.0,54392977.019999996,894,674,0,22,894
2008,Pension Trust Funds,Operating,96117934.03999999,19789866.24,0.0,6829764.140000001,568,402,0,34,568
2008,General Fund,Work Orders/Overhead,89340571.74,10501761.68,0.0,12794394.719999999,6860,3006,14,12,6860
2008,PUC Hetch Hetchy Funds,Operating,83693048.62,7432248.699999999,0.0,9444534.88,4844,1626,0,18,4844
2008,SF International Airport Funds,Grants,76378138.82000001,4139941.34,0.0,5123457.26,194,156,0,16,194
2008,General Hospital Medical Center Funds,Continuing Projects,58309646.56,13157498.94,0.0,18428248.599999998,254,202,2,14,254
2008,PUC Hetch Hetchy Funds,Continuing Projects,54294659.28,8417155.58,0.0,28192510.66,2056,886,0,10,2056
2008,Laguna Honda Hospital Funds,Operating,38983888.800000004,4869295.100000001,0.0,1004414.82,2188,1406,34,8,2188
2008,PUC Hetch Hetchy Funds,Work Orders/Overhead,33180995.68,5383839.46,0.0,251270.25999999998,54,48,0,6,54
2008,MTA Parking & Traffic Funds,Work Orders/Overhead,29955430.1,2788679.0999999996,0.0,1991767.58,1322,660,0,6,1322
2008,Port Of San Francisco Funds,Operating,26122594.84,1293090.92,0.0,3054445.54,2986,1916,0,4,2986
2008,MTA Parking & Traffic Funds,Operating,22817590.7,1475881.22,0.0,1373668.24,472,330,0,6,472
2008,Port Of San Francisco Funds,Continuing Projects,21926288.36,507595.7,0.0,6695106.22,320,276,0,4,320
2008,Capital Projects Funds,Grants,20045340.619999997,2248918.04,0.0,10030134.9,142,132,0,4,142
2008,Special Revenue Funds,Work Orders/Overhead,12753260.64,1546841.8,0.0,3520379.04,1910,1068,10,2,1910
2008,Special Revenue Funds,Annual Projects,10109345.78,74081.04000000001,0.0,243178.66,208,172,0,2,208
2008,Other Employee Benefit Trust Funds,Operating,8879309.200000001,-766487.02,0.0,0.0,134,108,0,4,134
2008,MTA Municipal Railway Funds,Work Orders/Overhead,8378063.9799999995,984233.4400000001,0.0,1854024.9,1300,692,2,0,1300
2008,Port Of San Francisco Funds,Grants,7891653.66,317462.32,0.0,1035927.64,24,22,0,4,24
2008,PUC Water Department Funds,Annual Projects,7752472.4,649419.78,0.0,1949125.2999999998,410,310,0,2,410
2008,Treasure Island Development Authority,Continuing Projects,5143359.0600000005,900349.42,0.0,1363463.62,204,186,0,0,204
