fiscal_year,organization_group,department,total_vouchers_paid,total_vouchers_pending,total_encumbrance_balance,total_pending_retainage,record_count,unique_suppliers,negative_paid_records,large_paid_1m_records,missing_po_date_records
2007,Community Health,DPH Public Health,1012812186.08,101488430.58,0.0,115833042.98,18574,7280,122,152,18574
2007,"Public Works, Transportation & Commerce",AIR Airport Commission,904377757.94,45256782.72,0.0,89232384.76,5782,2904,0,74,5782
2007,"Public Works, Transportation & Commerce",DPW GSA - Public Works,589297047.1800001,68083107.34,0.0,480728602.58000004,10416,3440,0,78,10416
2007,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,534148343.58,65150696.12,0.0,228500045.24,24204,3782,36,74,24204
2007,General City Responsibilities,GEN General City / Unallocated,301064554.26,518317.04000000004,0.0,8114641.120000001,184,172,0,10,184
2007,"Public Works, Transportation & Commerce",WWE Wastewater Enterprise,259280171.04000002,10947025.16,0.0,54533137.64,6958,2522,0,28,6958
2007,Human Welfare & Neighborhood Development,HSA Human Services Agency,241268211.66,28066008.12,0.0,13461432.06,4550,2494,0,32,4550
2007,"Public Works, Transportation & Commerce",PUB Public Utilities Bureaus,221603068.2,43304115.94,0.0,204459954.33999997,6236,3176,0,44,6236
2007,General Administration & Finance,ADM Gen Svcs Agency-City Admin,217203388.94,10240136.42,0.0,6424591.38,7948,3116,0,22,7948
2007,"Public Works, Transportation & Commerce",WTR Water Enterprise,182926746.78,14545329.22,0.0,62102509.88,16246,6522,0,22,16246
2007,"Public Works, Transportation & Commerce",HHP Hetch Hetchy Water & Power,147279260.84,10088605.28,0.0,31312542.58,6956,2154,0,24,6956
2007,General Administration & Finance,MYR Mayor,141370781.9,10421983.62,0.0,66946218.02,2644,1678,2,30,2644
2007,Human Welfare & Neighborhood Development,CHF Children;Youth & Families,123270272.77999999,21602522.22,0.0,17293302.74,1870,962,0,8,1870
2007,General Administration & Finance,HRD Human Resources,97255968.32000001,2422431.16,0.0,1335115.5999999999,1050,628,0,8,1050
2007,General Administration & Finance,DT GSA - Technology,95366664.9,13923744.879999999,0.0,18388968.4,4388,1426,0,14,4388
2007,General Administration & Finance,RET Retirement System,79642726.16000001,13746633.02,0.0,15442572.120000001,548,434,0,24,548
2007,Public Protection,CRT Superior Court,71319750.1,2503582.04,0.0,76249.78,1016,988,0,4,1016
