fiscal_year,total_vouchers_paid,total_vouchers_pending,total_encumbrance_balance,total_pending_retainage,record_count,unique_suppliers,negative_paid_records,large_paid_1m_records,missing_po_date_records
2007,5764961140.08,497238929.24,0.0,1875305887.02,164694,47970,164,712,164694
2008,6145504047.18,561869497.84,0.0,1651322347.38,168686,53372,166,774,168686
2009,6383096445.38,554858212.32,0.0,2023671114.48,165356,58093,128,802,165356
2010,6802319229.96,728518939.8,0.0,3710687575.5,159106,54218,174,818,159106
2011,7874766546.54,661723543.42,0.0,4146389728.38,159374,52744,202,916,159374
2012,8282745106.8,795631798.14,0.0,4320763622.64,162812,54474,202,916,162812
2013,9208542330.16,826751471.88,0.0,3711804434.36,168334,54954,186,1044,168334
2014,10414118409.66,959807872.14,0.0,3028824280.04,173144,59126,200,1084,173144
2015,9953183602.460001,812564923.22,0.0,3581804745.52,173868,54486,226,1130,173868
2016,10318752712.279999,810326670.22,0.0,3877054100.2,186072,57334,234,1248,186072
2017,12077542810.42,-124981.9,0.0,4711558814.26,187868,52952,272,1470,187868
2018,925616514250.64,-69795446.45999995,733110272.26,12643616.620000001,555528,80076,11948,12250,119890
2019,1015875921739.46,-24512301.439999998,617484526.02,10741735.719999999,654760,71458,18682,12706,122294
2020,1070523527024.76,158290.06,337666946.66,42873305.8,562488,68813,19932,11512,97426
2021,1045971333378.5399,1038895.2000000001,217124092.62,69995952.22,495478,57530,20558,11696,77590
2022,1080858981276.96,-4716936.88,277310607.1,213386012.98000002,494984,59995,19460,11878,75760
2023,1059549233672.6799,-108807.2,284307404.78,140734928.06,504852,61094,21410,11298,75644
2024,1100539811823.98,3787386.4999999995,416152957.36,337981307.6,509228,59458,18106,11422,74566
2025,1205857434772.3801,6385254.26,419016335.44,1527885839.94,551974,56812,17952,11544,70850
2026,1027577257490.76,18684603308.7,9546470947.78,1919083477.08,511324,54106,15060,10416,54652
